StartLocation,StartRotation,CharacterScale,walkSpeed,jumpVelocity,sprintSpeed,DestLocation_asEntity,timeToPathLimit
StartLocation,StartRotation,CharacterScale,walkSpeed,jumpVelocity,sprintSpeed,DestLocation_asEntity,timeToPathLimit
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.482012,211.542267,1108.096558,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.451421,151.821503,1845.759399,400.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,0.993207,195.915558,1848.872437,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.195706,166.498764,2148.442139,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.221961,154.20285,1808.954224,400.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.352147,241.021301,822.077148,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.296112,344.750488,473.983002,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.287182,152.879883,1649.55603,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.488122,250.009766,2950.376953,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.318949,318.757874,683.736694,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.308396,155.673706,1997.009277,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.368212,179.541763,1149.9375,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.225806,169.743958,1930.173584,400.0,BP_checkpoint2,
