StartLocation,StartRotation,CharacterScale,walkSpeed,jumpVelocity,sprintSpeed,DestLocation_asEntity,timeToPathLimit
StartLocation,StartRotation,CharacterScale,walkSpeed,jumpVelocity,sprintSpeed,DestLocation_asEntity,timeToPathLimit
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.021918,336.913818,2921.262207,200.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.175518,132.482681,2869.808105,200.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,0.970135,247.480545,498.886108,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.145482,252.087616,2468.428467,200.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.219996,274.796143,2226.355713,250.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,0.937684,168.047424,904.843323,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.017154,366.486267,2481.52124,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,0.975604,190.46022,2843.989258,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.314954,219.760284,840.113525,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.01222,166.055176,379.863861,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.14405,155.806,206.18306,200.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.258641,285.317688,2862.483643,200.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.226426,175.098114,2889.034668,200.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.19639,301.481384,2145.420654,400.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.128755,120.280159,2396.191406,200.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.25486,204.553833,1308.511597,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.088913,315.676147,2434.919434,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,0.995471,237.29361,1723.899048,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,0.913523,333.754211,78.279976,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.096347,193.80658,2803.888184,400.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,0.885772,125.735497,1315.378296,400.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.174792,313.427063,310.007019,250.0,BP_checkpoint2,
